1001,Desk Lamp
1002,Wireless Mouse
1003,A4 Copier Paper (500 Sheets)
1004,Stainless Steel Water Bottle
1005,Ergonomic Office Chair
1006,Bluetooth Headphones
1007,USB-C Charging Cable
1008,Yoga Mat
1009,Coffee Maker
1010,Toaster
1011,AA Batteries (12 Pack)
1012,HDMI Cable (2m)
1013,Non-Stick Frying Pan
1014,Set of 4 Coffee Mugs
1015,Mesh Desk Organizer
1016,Mechanical Keyboard
1017,Webcam 1080p
1018,External Hard Drive 1TB
1019,Adjustable Laptop Stand
1020,Extended Mouse Pad
1021,Pop-Up Laundry Basket
1022,Cotton Bath Towel Set
1023,Electric Toothbrush
1024,Compact Hair Dryer
1025,Home Tool Kit (39 Piece)
1026,Extension Cord (3m)
1027,LED Light Bulbs (4 Pack)
1028,Travel Umbrella
1029,Water Resistant Backpack
1030,Analog Wall Clock
